date,container_port_congestion_idx
20240919,30.5
20240920,30.1
20240921,29.9
20240922,29.9
20240923,30.4
20240924,30.9
20240925,31.0
20240926,31.2
20240927,31.9
20240928,31.9
20240929,31.8
20240930,31.9
20241001,31.8
20241002,31.8
20241003,31.1
20241004,30.7
20241005,30.7
20241006,30.6
20241007,30.5
20241008,30.4
20241009,30.5
20241010,30.7
20241011,30.8
20241012,30.8
20241013,31.1
20241014,30.8
20241015,30.7
20241016,30.7
20241017,30.7
20241018,30.7
20241019,30.9
20241020,30.9
20241021,31.0
20241022,31.0
20241023,30.9
20241024,31.1
20241025,31.2
20241026,31.2
20241027,31.2
20241028,31.2
20241029,31.2
20241030,31.4
20241031,31.4
20241101,31.5
20241102,31.5
20241103,31.5
20241104,31.4
20241105,31.6
20241106,31.7
20241107,31.5
20241108,31.4
20241109,31.5
20241110,31.5
